Id,Label,SOC_Major,SOC_Group
25-2011.00,"Preschool Teachers, Except Special Education",25,Education
25-2012.00,"Kindergarten Teachers, Except Special Education",25,Education
25-2021.00,"Elementary School Teachers, Except Special Education",25,Education
25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education",25,Education
25-2023.00,"Career/Technical Education Teachers, Middle School",25,Education
25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education",25,Education
25-2032.00,"Career/Technical Education Teachers, Secondary School",25,Education
25-2051.00,"Special Education Teachers, Preschool",25,Education
25-2056.00,"Special Education Teachers, Elementary School",25,Education
25-2057.00,"Special Education Teachers, Middle School",25,Education
25-2058.00,"Special Education Teachers, Secondary School",25,Education
25-2059.01,Adapted Physical Education Specialists,25,Education
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",25,Education
25-3021.00,Self-Enrichment Teachers,25,Education
25-3031.00,"Substitute Teachers, Short-Term",25,Education
25-3041.00,Tutors,25,Education
25-4011.00,Archivists,25,Education
25-4012.00,Curators,25,Education
25-4013.00,Museum Technicians and Conservators,25,Education
25-4022.00,Librarians and Media Collections Specialists,25,Education
25-9021.00,Farm and Home Management Educators,25,Education
25-9031.00,Instructional Coordinators,25,Education
25-9042.00,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",25,Education
25-9043.00,"Teaching Assistants, Special Education",25,Education
25-9044.00,"Teaching Assistants, Postsecondary",25,Education
27-1011.00,Art Directors,27,Arts & Media
27-1022.00,Fashion Designers,27,Arts & Media
27-1024.00,Graphic Designers,27,Arts & Media
27-1025.00,Interior Designers,27,Arts & Media
27-1026.00,Merchandise Displayers and Window Trimmers,27,Arts & Media
27-1027.00,Set and Exhibit Designers,27,Arts & Media
27-2011.00,Actors,27,Arts & Media
27-2012.00,Producers and Directors,27,Arts & Media
27-2012.03,Media Programming Directors,27,Arts & Media
27-2012.04,Talent Directors,27,Arts & Media
27-2022.00,Coaches and Scouts,27,Arts & Media
27-2023.00,"Umpires, Referees, and Other Sports Officials",27,Arts & Media
27-2031.00,Dancers,27,Arts & Media
27-2032.00,Choreographers,27,Arts & Media
27-2041.00,Music Directors and Composers,27,Arts & Media
27-2042.00,Musicians and Singers,27,Arts & Media
27-3011.00,Broadcast Announcers and Radio Disc Jockeys,27,Arts & Media
27-3023.00,"News Analysts, Reporters, and Journalists",27,Arts & Media
27-3031.00,Public Relations Specialists,27,Arts & Media
27-3042.00,Technical Writers,27,Arts & Media
27-3043.00,Writers and Authors,27,Arts & Media
27-3043.05,"Poets, Lyricists and Creative Writers",27,Arts & Media
27-3091.00,Interpreters and Translators,27,Arts & Media
27-4021.00,Photographers,27,Arts & Media
29-1011.00,Chiropractors,29,Healthcare Practitioners
29-1023.00,Orthodontists,29,Healthcare Practitioners
29-1031.00,Dietitians and Nutritionists,29,Healthcare Practitioners
29-1041.00,Optometrists,29,Healthcare Practitioners
29-1051.00,Pharmacists,29,Healthcare Practitioners
29-1071.00,Physician Assistants,29,Healthcare Practitioners
29-1071.01,Anesthesiologist Assistants,29,Healthcare Practitioners
29-1081.00,Podiatrists,29,Healthcare Practitioners
29-1122.00,Occupational Therapists,29,Healthcare Practitioners
29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",29,Healthcare Practitioners
29-1123.00,Physical Therapists,29,Healthcare Practitioners
29-1125.00,Recreational Therapists,29,Healthcare Practitioners
29-1126.00,Respiratory Therapists,29,Healthcare Practitioners
29-1127.00,Speech-Language Pathologists,29,Healthcare Practitioners
29-1128.00,Exercise Physiologists,29,Healthcare Practitioners
29-1129.01,Art Therapists,29,Healthcare Practitioners
29-1129.02,Music Therapists,29,Healthcare Practitioners
29-1131.00,Veterinarians,29,Healthcare Practitioners
29-1141.00,Registered Nurses,29,Healthcare Practitioners
29-1141.01,Acute Care Nurses,29,Healthcare Practitioners
29-1141.02,Advanced Practice Psychiatric Nurses,29,Healthcare Practitioners
29-1141.03,Critical Care Nurses,29,Healthcare Practitioners
29-1141.04,Clinical Nurse Specialists,29,Healthcare Practitioners
