Id,Label,soc_major,soc_group,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Degree
17-2199.11,Solar Energy Systems Engineers,17,Architecture & Engineering,5,13,0.175786,0.195445,0,1
17-3011.00,Architectural and Civil Drafters,17,Architecture & Engineering,4,11,0.172967,0.184439,0,1
17-3012.00,Electrical and Electronics Drafters,17,Architecture & Engineering,4,11,0.172967,0.184439,0,1
17-3022.00,Civil Engineering Technologists and Technicians,17,Architecture & Engineering,5,12,0.190176,0.21087,0,2
19-1011.00,Animal Scientists,19,"Life, Physical & Social Science",5,11,0.250276,0.312311,0.009317,23
19-1012.00,Food Scientists and Technologists,19,"Life, Physical & Social Science",5,11,0.231359,0.266789,0.006294,8
19-1013.00,Soil and Plant Scientists,19,"Life, Physical & Social Science",5,11,0.235325,0.28088,0.003439,14
19-1022.00,Microbiologists,19,"Life, Physical & Social Science",5,12,0.211386,0.245343,0.003299,6
19-1023.00,Zoologists and Wildlife Biologists,19,"Life, Physical & Social Science",5,11,0.257973,0.310404,0.002062,14
19-1029.01,Bioinformatics Scientists,19,"Life, Physical & Social Science",5,10,0.269322,0.327879,0.013702,20
19-1029.02,Molecular and Cellular Biologists,19,"Life, Physical & Social Science",5,13,0.174566,0.191866,0,1
19-1029.03,Geneticists,19,"Life, Physical & Social Science",5,10,0.261246,0.311674,0.003033,13
19-1029.04,Biologists,19,"Life, Physical & Social Science",5,12,0.181709,0.19729,0,1
19-1031.00,Conservation Scientists,19,"Life, Physical & Social Science",8,11,0.259005,0.31515,0.004852,18
19-1031.02,Range Managers,19,"Life, Physical & Social Science",5,11,0.225149,0.248908,0.003299,2
19-1031.03,Park Naturalists,19,"Life, Physical & Social Science",12,10,0.286709,0.326574,0.00012,6
19-1041.00,Epidemiologists,19,"Life, Physical & Social Science",5,10,0.275046,0.324173,0.002763,11
19-1042.00,"Medical Scientists, Except Epidemiologists",19,"Life, Physical & Social Science",5,11,0.251807,0.308595,0.015398,18
19-2011.00,Astronomers,19,"Life, Physical & Social Science",5,11,0.229833,0.261734,0.000033,3
19-2012.00,Physicists,19,"Life, Physical & Social Science",5,13,0.171202,0.192121,0.013107,2
19-2021.00,Atmospheric and Space Scientists,19,"Life, Physical & Social Science",5,10,0.285444,0.346947,0.011126,21
19-2032.00,Materials Scientists,19,"Life, Physical & Social Science",5,12,0.213176,0.254137,0.006707,11
19-2041.00,"Environmental Scientists and Specialists, Including Health",19,"Life, Physical & Social Science",5,11,0.256657,0.314415,0.011037,20
19-2041.01,Climate Change Policy Analysts,19,"Life, Physical & Social Science",2,9,0.307119,0.361376,0.004698,17
19-2041.02,Environmental Restoration Planners,19,"Life, Physical & Social Science",5,11,0.239556,0.289489,0.008006,16
19-2041.03,Industrial Ecologists,19,"Life, Physical & Social Science",5,10,0.278427,0.331442,0.006883,14
