Source,Target,Type,Id,Label,Weight
11-3121.00,21-2011.00,Undirected,59955,,0.9568
11-3121.00,25-9031.00,Undirected,59956,,0.9614
11-3121.00,27-2041.00,Undirected,59957,,0.9749
11-3121.00,41-1012.00,Undirected,59958,,0.9693
11-3121.00,41-3031.00,Undirected,59959,,0.9577
11-3131.00,11-9031.00,Undirected,59960,,0.9547
11-3131.00,11-9032.00,Undirected,59961,,0.9682
11-3131.00,11-9033.00,Undirected,59962,,0.9589
11-3131.00,11-9111.00,Undirected,59963,,0.9502
11-3131.00,11-9161.00,Undirected,59964,,0.9613
11-3131.00,13-1151.00,Undirected,59965,,0.9593
11-3131.00,21-2021.00,Undirected,59966,,0.961
11-3131.00,25-9031.00,Undirected,59967,,0.9575
11-9031.00,11-9032.00,Undirected,59968,,0.9681
11-9031.00,11-9033.00,Undirected,59969,,0.9785
11-9031.00,11-9071.00,Undirected,59970,,0.978
11-9031.00,11-9072.00,Undirected,59971,,0.9831
11-9031.00,11-9081.00,Undirected,59972,,0.969
11-9031.00,11-9131.00,Undirected,59973,,0.9594
11-9031.00,11-9151.00,Undirected,59974,,0.9506
11-9031.00,11-9161.00,Undirected,59975,,0.9628
11-9031.00,11-9171.00,Undirected,59976,,0.9616
11-9031.00,11-9179.01,Undirected,59977,,0.9614
11-9031.00,11-9179.02,Undirected,59978,,0.9598
11-9031.00,11-9199.10,Undirected,59979,,0.9592
11-9031.00,21-2011.00,Undirected,59980,,0.9584
11-9031.00,25-9031.00,Undirected,59981,,0.9656
11-9031.00,33-1012.00,Undirected,59982,,0.95
11-9031.00,41-1011.00,Undirected,59983,,0.9554
11-9031.00,41-1012.00,Undirected,59984,,0.9712
11-9031.00,43-1011.00,Undirected,59985,,0.9653
11-9032.00,11-9033.00,Undirected,59986,,0.9585
11-9032.00,11-9071.00,Undirected,59987,,0.9607
11-9032.00,11-9072.00,Undirected,59988,,0.9644
11-9032.00,11-9161.00,Undirected,59989,,0.9659
11-9032.00,11-9179.01,Undirected,59990,,0.9537
11-9032.00,11-9199.10,Undirected,59991,,0.951
11-9032.00,13-1081.00,Undirected,59992,,0.9524
11-9032.00,25-4012.00,Undirected,59993,,0.9739
11-9032.00,25-9031.00,Undirected,59994,,0.9596
11-9032.00,41-1012.00,Undirected,59995,,0.9589
11-9032.00,43-1011.00,Undirected,59996,,0.9596
11-9033.00,11-9071.00,Undirected,59997,,0.9587
11-9033.00,11-9072.00,Undirected,59998,,0.9666
11-9033.00,13-1041.08,Undirected,59999,,0.965
11-9033.00,21-2011.00,Undirected,60000,,0.9669
11-9033.00,25-2022.00,Undirected,60001,,0.9535
11-9033.00,25-9031.00,Undirected,60002,,0.9676
11-9033.00,41-1012.00,Undirected,60003,,0.9643
11-9033.00,41-3031.00,Undirected,60004,,0.9502
