Source,Target,Weight
11-3071.04,13-1081.00,0.9593
11-3071.04,15-1299.09,0.9543
11-3071.04,41-1012.00,0.9534
11-3111.00,11-3121.00,0.9703
11-3111.00,13-1141.00,0.9561
11-3111.00,13-1199.04,0.9547
11-3111.00,27-2041.00,0.961
11-3111.00,41-3031.00,0.9665
11-3121.00,11-3131.00,0.9603
11-3121.00,11-9031.00,0.9669
11-3121.00,11-9032.00,0.9637
11-3121.00,11-9033.00,0.9766
11-3121.00,11-9071.00,0.9583
11-3121.00,11-9072.00,0.9555
11-3121.00,11-9111.00,0.9546
11-3121.00,11-9151.00,0.9663
11-3121.00,11-9161.00,0.9622
11-3121.00,13-1041.08,0.9555
11-3121.00,13-1075.00,0.954
11-3121.00,13-1081.00,0.9543
11-3121.00,13-1141.00,0.9532
11-3121.00,21-2011.00,0.9568
11-3121.00,25-9031.00,0.9614
11-3121.00,27-2041.00,0.9749
11-3121.00,41-1012.00,0.9693
11-3121.00,41-3031.00,0.9577
11-3131.00,11-9031.00,0.9547
11-3131.00,11-9032.00,0.9682
11-3131.00,11-9033.00,0.9589
11-3131.00,11-9111.00,0.9502
11-3131.00,11-9161.00,0.9613
11-3131.00,13-1151.00,0.9593
11-3131.00,21-2021.00,0.961
11-3131.00,25-9031.00,0.9575
11-9031.00,11-9032.00,0.9681
11-9031.00,11-9033.00,0.9785
11-9031.00,11-9071.00,0.978
11-9031.00,11-9072.00,0.9831
11-9031.00,11-9081.00,0.969
11-9031.00,11-9131.00,0.9594
11-9031.00,11-9151.00,0.9506
11-9031.00,11-9161.00,0.9628
11-9031.00,11-9171.00,0.9616
11-9031.00,11-9179.01,0.9614
11-9031.00,11-9179.02,0.9598
11-9031.00,11-9199.10,0.9592
11-9031.00,21-2011.00,0.9584
11-9031.00,25-9031.00,0.9656
11-9031.00,33-1012.00,0.95
11-9031.00,41-1011.00,0.9554
11-9031.00,41-1012.00,0.9712
11-9031.00,43-1011.00,0.9653
11-9032.00,11-9033.00,0.9585
11-9032.00,11-9071.00,0.9607
11-9032.00,11-9072.00,0.9644
11-9032.00,11-9161.00,0.9659
11-9032.00,11-9179.01,0.9537
11-9032.00,11-9199.10,0.951
11-9032.00,13-1081.00,0.9524
11-9032.00,25-4012.00,0.9739
11-9032.00,25-9031.00,0.9596
11-9032.00,41-1012.00,0.9589
11-9032.00,43-1011.00,0.9596
11-9033.00,11-9071.00,0.9587
11-9033.00,11-9072.00,0.9666
11-9033.00,13-1041.08,0.965
11-9033.00,21-2011.00,0.9669
11-9033.00,25-2022.00,0.9535
11-9033.00,25-9031.00,0.9676
11-9033.00,41-1012.00,0.9643
11-9033.00,41-3031.00,0.9502
11-9041.00,17-2081.00,0.9502
11-9041.00,25-4012.00,0.9532
11-9041.00,29-1051.00,0.9634
11-9041.01,19-1012.00,0.9545
11-9051.00,35-1011.00,0.9745
11-9051.00,35-1012.00,0.9538
11-9071.00,11-9072.00,0.9661
11-9071.00,11-9081.00,0.9632
11-9071.00,11-9131.00,0.9591
11-9071.00,11-9151.00,0.9558
11-9071.00,11-9161.00,0.9641
11-9071.00,11-9171.00,0.9562
11-9071.00,11-9179.02,0.9643
11-9071.00,11-9199.08,0.9577
11-9071.00,11-9199.10,0.9559
11-9071.00,39-1022.00,0.9589
11-9071.00,41-1011.00,0.9591
11-9071.00,41-1012.00,0.9741
11-9071.00,43-1011.00,0.9763
11-9071.00,53-1042.01,0.9506
11-9072.00,11-9081.00,0.9748
11-9072.00,11-9131.00,0.958
11-9072.00,11-9161.00,0.9644
11-9072.00,11-9171.00,0.9643
11-9072.00,11-9179.01,0.9658
11-9072.00,11-9179.02,0.9618
11-9072.00,11-9199.08,0.9519
11-9072.00,11-9199.10,0.9565
11-9072.00,13-1121.00,0.953
11-9072.00,21-1094.00,0.9568
11-9072.00,21-2011.00,0.9647
11-9072.00,21-2021.00,0.9541
11-9072.00,25-9031.00,0.9561
11-9072.00,27-2012.00,0.9504
11-9072.00,33-1012.00,0.9578
11-9072.00,39-1022.00,0.957
11-9072.00,41-1011.00,0.9572
11-9072.00,41-1012.00,0.962
11-9072.00,43-1011.00,0.9649
11-9081.00,11-9171.00,0.9651
11-9081.00,11-9179.01,0.9527
11-9081.00,11-9179.02,0.9714
11-9081.00,11-9199.08,0.9605
11-9081.00,21-1094.00,0.9549
11-9081.00,33-1012.00,0.9624
11-9081.00,35-3011.00,0.9611
11-9081.00,39-1022.00,0.9622
11-9081.00,41-1011.00,0.9524
11-9081.00,41-1012.00,0.9664
11-9081.00,43-1011.00,0.9641
11-9081.00,53-1042.01,0.9505
11-9111.00,11-9151.00,0.9506
11-9111.00,11-9161.00,0.9579
11-9111.00,13-1081.00,0.969
11-9111.00,15-1299.09,0.9532
11-9111.00,27-1011.00,0.9532
11-9111.00,27-1022.00,0.9536
11-9121.00,19-2041.00,0.9543
11-9121.00,19-2041.02,0.9513
11-9121.01,19-3039.03,0.9539
11-9121.01,19-3091.00,0.9565
11-9121.01,29-1051.00,0.9598
11-9121.01,29-1141.02,0.9559
11-9121.01,29-1217.00,0.9553
11-9121.01,29-1299.01,0.9518
11-9121.02,17-2051.02,0.9528
11-9121.02,17-2081.00,0.9595
