Id,Label,SOC_Major,SOC_Group
33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",33,Protective Service
19-1011.00,Animal Scientists,19,"Life, Physical & Social Science"
23-1023.00,"Judges, Magistrate Judges, and Magistrates",23,Legal
25-1065.00,"Political Science Teachers, Postsecondary",25,Education
27-1011.00,Art Directors,27,Arts & Media
29-2031.00,Cardiovascular Technologists and Technicians,29,Healthcare Practitioners
29-1229.04,Physical Medicine and Rehabilitation Physicians,29,Healthcare Practitioners
33-9099.02,Retail Loss Prevention Specialists,33,Protective Service
51-6061.00,Textile Bleaching and Dyeing Machine Operators and Tenders,51,Production
41-9031.00,Sales Engineers,41,Sales
29-1181.00,Audiologists,29,Healthcare Practitioners
19-1022.00,Microbiologists,19,"Life, Physical & Social Science"
29-1299.01,Naturopathic Physicians,29,Healthcare Practitioners
25-2021.00,"Elementary School Teachers, Except Special Education",25,Education
43-4131.00,Loan Interviewers and Clerks,43,Office & Admin Support
25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary",25,Education
19-1029.03,Geneticists,19,"Life, Physical & Social Science"
43-4151.00,Order Clerks,43,Office & Admin Support
29-1216.00,General Internal Medicine Physicians,29,Healthcare Practitioners
41-2021.00,Counter and Rental Clerks,41,Sales
39-7012.00,Travel Guides,39,Personal Care
43-3061.00,Procurement Clerks,43,Office & Admin Support
35-2015.00,"Cooks, Short Order",35,Food Preparation
29-1224.00,Radiologists,29,Healthcare Practitioners
29-1161.00,Nurse Midwives,29,Healthcare Practitioners
43-9061.00,"Office Clerks, General",43,Office & Admin Support
33-3012.00,Correctional Officers and Jailers,33,Protective Service
17-2141.02,Automotive Engineers,17,Architecture & Engineering
23-1011.00,Lawyers,23,Legal
29-2036.00,Medical Dosimetrists,29,Healthcare Practitioners
33-3011.00,Bailiffs,33,Protective Service
31-9095.00,Pharmacy Aides,31,Healthcare Support
53-2012.00,Commercial Pilots,53,Transportation
39-5093.00,Shampooers,39,Personal Care
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",25,Education
